2018-06-11 00:18:45 startup archives unpack
2018-06-11 00:18:46 upgrade gpgv:armhf 2.1.18-8~deb9u1 2.1.18-8~deb9u2
2018-06-11 00:18:46 status half-configured gpgv:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status unpacked gpgv:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status half-installed gpgv:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status triggers-pending man-db:armhf 2.7.6.1-2
2018-06-11 00:18:46 status half-installed gpgv:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status unpacked gpgv:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:46 status unpacked gpgv:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:46 startup packages configure
2018-06-11 00:18:46 configure gpgv:armhf 2.1.18-8~deb9u2 <none>
2018-06-11 00:18:46 status unpacked gpgv:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:46 status half-configured gpgv:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:46 status installed gpgv:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:46 startup archives unpack
2018-06-11 00:18:46 upgrade gnupg-agent:armhf 2.1.18-8~deb9u1 2.1.18-8~deb9u2
2018-06-11 00:18:46 status half-configured gnupg-agent:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status unpacked gnupg-agent:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status half-installed gnupg-agent:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:46 status half-installed gnupg-agent:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:47 status unpacked gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 status unpacked gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 startup packages configure
2018-06-11 00:18:47 configure gnupg-agent:armhf 2.1.18-8~deb9u2 <none>
2018-06-11 00:18:47 status unpacked gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 status unpacked gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 status half-configured gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 status installed gnupg-agent:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:47 startup archives unpack
2018-06-11 00:18:47 upgrade gnupg:armhf 2.1.18-8~deb9u1 2.1.18-8~deb9u2
2018-06-11 00:18:47 status half-configured gnupg:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:47 status unpacked gnupg:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:47 status half-installed gnupg:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:47 status triggers-pending install-info:armhf 6.3.0.dfsg.1-1+b1
2018-06-11 00:18:47 status half-installed gnupg:armhf 2.1.18-8~deb9u1
2018-06-11 00:18:48 status unpacked gnupg:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:48 status unpacked gnupg:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:48 startup packages configure
2018-06-11 00:18:48 configure gnupg:armhf 2.1.18-8~deb9u2 <none>
2018-06-11 00:18:48 status unpacked gnupg:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:48 status half-configured gnupg:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:48 status installed gnupg:armhf 2.1.18-8~deb9u2
2018-06-11 00:18:48 startup archives unpack
2018-06-11 00:18:48 upgrade libprocps6:armhf 2:3.3.12-3 2:3.3.12-3+deb9u1
2018-06-11 00:18:48 status triggers-pending libc-bin:armhf 2.24-11+deb9u3
2018-06-11 00:18:48 status half-configured libprocps6:armhf 2:3.3.12-3
2018-06-11 00:18:48 status unpacked libprocps6:armhf 2:3.3.12-3
2018-06-11 00:18:48 status half-installed libprocps6:armhf 2:3.3.12-3
2018-06-11 00:18:48 status half-installed libprocps6:armhf 2:3.3.12-3
2018-06-11 00:18:48 status unpacked libprocps6:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:48 status unpacked libprocps6:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:48 upgrade procps:armhf 2:3.3.12-3 2:3.3.12-3+deb9u1
2018-06-11 00:18:48 status half-configured procps:armhf 2:3.3.12-3
2018-06-11 00:18:48 status unpacked procps:armhf 2:3.3.12-3
2018-06-11 00:18:48 status half-installed procps:armhf 2:3.3.12-3
2018-06-11 00:18:48 status triggers-pending systemd:armhf 232-25+deb9u2
2018-06-11 00:18:49 status half-installed procps:armhf 2:3.3.12-3
2018-06-11 00:18:49 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:49 status unpacked procps:armhf 2:3.3.12-3+deb9u1
2018-06-11 00:18:49 upgrade wget:armhf 1.18-5+deb9u1 1.18-5+deb9u2
